Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,2000,11.088,11.088,0.820,0.820,5.2994,5.2994,0.000,0.000,4.000,4.000,0.0100,0.0243471,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,200,2000,0.738,0.791,0.534,0.535,4.9166,5.1579,10.000,3.393,18.000,10.488,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,400,2000,1.252,0.808,0.669,0.573,4.1383,4.8663,22.000,8.224,38.000,20.983,0.0100,0.0001569,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,600,2000,0.747,0.811,0.527,0.585,3.8414,4.5348,18.000,13.458,46.000,30.080,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,800,2000,1.098,0.805,0.549,0.585,2.9580,4.2431,48.000,17.948,70.000,37.096,0.0100,0.0003051,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,1000,2000,0.800,0.806,0.597,0.589,3.1258,3.9926,28.000,21.818,52.000,42.515,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,1200,2000,1.177,0.802,0.643,0.588,2.6843,3.7836,42.000,25.106,66.000,46.713,0.0100,0.0004671,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,1400,2000,0.866,0.803,0.659,0.591,3.1469,3.6133,28.000,27.807,58.000,49.934,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,1600,2000,1.203,0.815,0.669,0.605,2.4060,3.4664,50.000,30.152,74.000,52.606,0.0100,0.0006394,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,0,1800,2000,0.970,0.818,0.766,0.608,2.1505,3.3431,54.000,32.101,72.000,54.788,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,0,2000,0.626,0.626,0.098,0.098,2.4048,2.4048,46.000,46.000,76.000,76.000,0.0100,0.0008190,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,200,2000,0.455,0.449,0.094,0.095,2.2956,2.1487,50.000,51.761,74.000,75.642,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,400,2000,0.801,0.451,0.094,0.096,2.2521,2.1479,52.000,51.756,68.000,75.551,0.0100,0.0010049,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,600,2000,0.449,0.452,0.088,0.097,2.5319,2.1356,40.000,51.734,66.000,75.547,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,800,2000,0.801,0.453,0.094,0.098,2.3893,2.1210,38.000,51.968,74.000,75.640,0.0100,0.0011944,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,1000,2000,0.455,0.453,0.094,0.099,2.5799,2.1140,42.000,52.006,64.000,75.636,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,1200,2000,0.816,0.453,0.094,0.099,2.2208,2.1034,42.000,52.123,72.000,75.837,0.0100,0.0013852,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,1400,2000,0.456,0.453,0.094,0.099,2.2562,2.0911,50.000,52.307,70.000,76.029,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,1600,2000,0.802,0.454,0.125,0.099,1.8801,2.0783,56.000,52.562,78.000,76.180,0.0100,0.0015642,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,1,1800,2000,0.455,0.454,0.094,0.100,2.2403,2.0750,50.000,52.539,66.000,76.155,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,0,2000,0.741,0.741,0.152,0.152,1.8271,1.8271,60.000,60.000,84.000,84.000,0.0100,0.0016929,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,200,2000,0.455,0.454,0.094,0.100,2.0708,1.9451,52.000,55.015,76.000,77.881,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,400,2000,0.815,0.455,0.100,0.101,1.8320,1.9468,60.000,55.022,74.000,77.611,0.0100,0.0018345,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,600,2000,0.460,0.454,0.110,0.102,1.9209,1.9603,60.000,54.636,76.000,77.371,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,800,2000,0.816,0.455,0.110,0.102,2.2616,1.9648,54.000,54.292,68.000,77.371,0.0100,0.0019717,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
0,2,1000,2000,0.454,0.455,0.094,0.102,1.8929,1.9717,54.000,54.080,78.000,77.325,0.0100,0.0000000,4087.5461 M,4087.5461 M, 25529472.0000 M, 23891072.0000 M
