Epoch,iteration,SparseConv0_64-64-(3  3),SparseConv1_64-64-(3  3),SparseConv2_64-64-(3  3),SparseConv3_64-64-(3  3),SparseConv4_64-128-(3  3),SparseConv5_128-128-(3  3),SparseConv6_64-128-(1  1),SparseConv7_128-128-(3  3),SparseConv8_128-128-(3  3),SparseConv9_128-256-(3  3),SparseConv10_256-256-(3  3),SparseConv11_128-256-(1  1),SparseConv12_256-256-(3  3),SparseConv13_256-256-(3  3),SparseConv14_256-512-(3  3),SparseConv15_512-512-(3  3),SparseConv16_256-512-(1  1),SparseConv17_512-512-(3  3),SparseConv18_512-512-(3  3),Linear0_512-200
0,0,0.1567111611366272,0.2333170771598816,0.1842719316482544,0.2387424111366272,0.2312690019607544,0.2171088457107544,0.11572265625,0.2254299521446228,0.2548556923866272,0.234937846660614,0.2447289228439331,0.238616943359375,0.252960205078125,0.2606014609336853,0.27010512351989746,0.2737354636192322,0.24364471435546875,0.28255122900009155,0.2679646611213684,0.29707032442092896
0,400,0.1580132246017456,0.246826171875,0.1950141191482544,0.2536349892616272,0.2413058876991272,0.23284912109375,0.1173095703125,0.2416924238204956,0.2722846269607544,0.247663676738739,0.2629682421684265,0.239501953125,0.2722201943397522,0.2807328701019287,0.28528934717178345,0.2951592206954956,0.2470245361328125,0.30441832542419434,0.28856998682022095,0.29954105615615845
1,0,0.159559428691864,0.2588975429534912,0.2039116621017456,0.2665744423866272,0.250135600566864,0.2461276650428772,0.1180419921875,0.2558661699295044,0.2873603105545044,0.2579142451286316,0.2788323163986206,0.24041748046875,0.2884589433670044,0.2975327968597412,0.29834747314453125,0.31340324878692627,0.2497100830078125,0.3231421709060669,0.3063850402832031,0.3006836175918579
1,400,0.1612412929534912,0.2757161259651184,0.2164984941482544,0.2809516191482544,0.26171875,0.2636515498161316,0.1181640625,0.273756206035614,0.30712890625,0.2717522382736206,0.2998420000076294,0.2413330078125,0.3102450966835022,0.3196750283241272,0.3152313232421875,0.3378139138221741,0.25274658203125,0.3481330871582031,0.3303913474082947,0.30521488189697266
2,0,0.1636555790901184,0.288221538066864,0.2271321415901184,0.2933213710784912,0.2716064453125,0.2775471806526184,0.117431640625,0.2886894941329956,0.3240898847579956,0.2828267216682434,0.3173828125,0.24163818359375,0.328260600566864,0.3379533290863037,0.32901257276535034,0.3579555153846741,0.25579833984375,0.3688812255859375,0.3504502773284912,0.30714845657348633
2,400,0.1671549677848816,0.3052300214767456,0.2394205927848816,0.3097873330116272,0.2835422158241272,0.297071635723114,0.1190185546875,0.308302104473114,0.3461574912071228,0.297149658203125,0.3404286503791809,0.2420654296875,0.3522389531135559,0.3628251552581787,0.3471950888633728,0.3855149745941162,0.25864410400390625,0.3968437910079956,0.3770069479942322,0.31016600131988525
3,0,0.1700032353401184,0.3185492753982544,0.2508409023284912,0.3239203691482544,0.2929145097732544,0.3125474452972412,0.118896484375,0.3242119550704956,0.3645969033241272,0.3087158203125,0.3595733642578125,0.242462158203125,0.372205913066864,0.3831990361213684,0.3620113730430603,0.4079093933105469,0.26096343994140625,0.41973114013671875,0.3988906145095825,0.31331056356430054
3,400,0.1732584834098816,0.3362358808517456,0.2649739384651184,0.341796875,0.3053520917892456,0.3327500820159912,0.1195068359375,0.3458116054534912,0.3885769248008728,0.3236592411994934,0.3846604824066162,0.242889404296875,0.3981204628944397,0.4097188115119934,0.3812238574028015,0.43766993284225464,0.26438140869140625,0.450361430644989,0.4281603693962097,0.31740236282348633
4,0,0.1767578125,0.3498263955116272,0.2760416865348816,0.3546006679534912,0.3144395351409912,0.3488362431526184,0.1207275390625,0.3623521327972412,0.407972514629364,0.3349406123161316,0.4049750566482544,0.24346923828125,0.4195285439491272,0.4315643310546875,0.3969523310661316,0.4621052145957947,0.2665557861328125,0.47533077001571655,0.4519733786582947,0.3195214867591858
4,400,0.1802842617034912,0.3689236044883728,0.2919108271598816,0.3729926347732544,0.3271348476409912,0.3703545331954956,0.1219482421875,0.38433837890625,0.4335259199142456,0.3496127724647522,0.4316864013671875,0.24383544921875,0.4480573534965515,0.4601338505744934,0.41701000928878784,0.49425166845321655,0.26924896240234375,0.508366048336029,0.48355650901794434,0.3228124976158142
5,0,0.1841362714767456,0.38330078125,0.3058539628982544,0.3867729902267456,0.3370903730392456,0.386366069316864,0.122314453125,0.4020588994026184,0.4539591670036316,0.362335205078125,0.4534335732460022,0.24395751953125,0.4707387089729309,0.48358154296875,0.43290114402770996,0.5202785134315491,0.27173614501953125,0.5352605581283569,0.5093778371810913,0.32502931356430054
5,400,0.188720703125,0.401258647441864,0.3231608271598816,0.4075791835784912,0.3497856855392456,0.410108745098114,0.12353515625,0.4253200888633728,0.4808146357536316,0.3784145712852478,0.4817878007888794,0.2445068359375,0.5008087158203125,0.5135887861251831,0.45305800437927246,0.5540330410003662,0.27471923828125,0.5702002048492432,0.5428725481033325,0.32829105854034424
